epoch,step,train_loss,val_loss
0,1312,,0.5658042430877686
0,1312,0.7911490797996521,
1,2625,,0.4083513021469116
1,2625,0.32853424549102783,
2,3938,,0.2951641380786896
2,3938,0.2311118096113205,
3,5251,,0.2811233103275299
3,5251,0.1711338311433792,
4,6564,,0.25309574604034424
4,6564,0.14611543715000153,
5,7877,,0.330051064491272
5,7877,0.12322842329740524,
6,9190,,0.2470940500497818
6,9190,0.10486379265785217,
7,10503,,0.2700232267379761
7,10503,0.09699928760528564,
8,11816,,0.24019314348697662
8,11816,0.08291761577129364,
9,13129,,0.17264258861541748
9,13129,0.07174286246299744,
10,14442,,0.1871417611837387
10,14442,0.05840030312538147,
11,15755,,0.17203190922737122
11,15755,0.05274190753698349,
12,17068,,0.1782614141702652
12,17068,0.04690287634730339,
13,18381,,0.16786473989486694
13,18381,0.04102681204676628,
14,19694,,0.15506331622600555
14,19694,0.03255114331841469,
15,21007,,0.14898093044757843
15,21007,0.026217997074127197,
16,22320,,0.15398406982421875
16,22320,0.025290416553616524,
17,23633,,0.17053377628326416
17,23633,0.02015094645321369,
18,24946,,0.15074194967746735
18,24946,0.02169845625758171,
19,26259,,0.1412987858057022
19,26259,0.021086493507027626,
